Title,Author,Series,Status,Privacy,Hardcover Book ID,Hardcover Edition ID,ISBN 10,ISBN 13,ASIN,Media,Country Code,Language Code,Binding,Pages,Duration in Seconds,Publish Date,Publisher,Genres,Moods,Tags,Content Warnings,Lists,Date Added,Date Started,Date Finished,Rating,Review,Review Contains Spoilers,Sponsored Review,Review Date,Review URL,Review Media URL,Private Notes,Owned,Compilation,Review Slate
A Practical Guide to Evil I,"David Verburg, Amber Dekkers (Narrator)",A Practical Guide to Evil (#1),Read,,,32217542,,9798349103513,B0FG4LG58Q,Audiobook,,en,Audible Audio,,50236,2025-01-01,Dreamscape Lore,,,,,,,2026-05-18,2026-05-20,,,No,No,,,,,No,No,
Calla Falling,"Tallie Rose, Rebecca Avery (Narrator)",,Read,,1190863,,,,B0CBCXQG2T,Audiobook,,en,Audible Audio,,23524,2023-01-01,Tallie Rose,,,,,,,2026-05-20,2026-05-21,,,No,No,,,,,No,No,
