title	author	isbn	asin	abs_id	started_at	finished_at	subtitle	narrator	publisher	published_date	published_year	language	duration_seconds	series_name	cover_path	action	confidence	evidence	hardcover_url	book_id	edition_id	alternatives	cover_needed	hardcover_duration_seconds	hardcover_language	error
Couriers Outbound	Pirateaba	9798895391365	B0GNTGPLSN	90a260a5-bf08-4f14-a6f7-28da06bfcf30	2026-06-09	2026-06-13	The Wandering Inn, Book 19	Erin Bennett	Podium Audio		2026	English	152555	The Wandering Inn #19	/metadata/items/90a260a5-bf08-4f14-a6f7-28da06bfcf30/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 9 seconds of ABS	https://hardcover.app/books/couriers-outbound/editions/33002678	2513601	33002678		True	152546		
Bone of My Bone	Johanna van Veen	9798331906641	B0GZ4Y7NPH	0965edc3-b20f-4939-9cb3-9e9eedd8ff47	2026-06-13	2026-06-13		Amy Noble	Tantor Media		2026	English	40100		/metadata/items/0965edc3-b20f-4939-9cb3-9e9eedd8ff47/cover.jpg	use_existing_audiobook	high	matched audiobook edition by ABS ISBN/ASIN	https://hardcover.app/books/bone-of-my-bone/editions/32984241	2182420	32984241			40090	English	
Inkpot Gods	Seanan McGuire		B0GVTNNDFJ	d5734ed0-ec7a-4edb-b09b-95355515fe73	2026-06-13	2026-06-15	Alchemical Journeys, Book 4	Amber Benson	Audible Studios		2026	English	52864	Alchemical Journeys #4	/metadata/items/d5734ed0-ec7a-4edb-b09b-95355515fe73/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/inkpot-gods/editions	2235779			True			
Body Count	Codie Crowley	9798891781764	B0GQCVY3H5	ef155097-0eb1-49df-80ef-61ba744f585e	2026-06-15	2026-06-17		Krystal Hammond	Recorded Books		2026	English	34969		/mnt/audiobooks/Codie Crowley/Body Count/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/body-count-2026/editions	2189748			True			
They Bloom at Night	Trang Thanh Tran	9781547615995	B0DWXZX1D6	e1b2390d-e418-458d-9467-a38297a4dedd	2026-06-18	2026-06-21		Nhi Do	Bloomsbury YA		2025	English	27495		/mnt/audiobooks/Trang Thanh Tran/They Bloom at Night/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 15 seconds of ABS	https://hardcover.app/books/they-bloom-at-night/editions/32423225	1203186	32423225		True	27480		
Bunny Girl Evolution 1	Sir Bedivere the Mad		B0FDBJG31C	c4c62579-a46c-4412-aa22-51a9bc29eaf0	2026-06-21	2026-06-22	A Monster Evolution LitRPG	Dorrie Sacks, Justin Thomas James, Ryan H. Reid, Jeff Hays, Andrea Parsneau, Tess Irondale	Soundbooth Theater		2025	English	66741	Bunny Girl Evolution #1	/mnt/audiobooks/Sir Bedivere the Mad/Bunny Girl Evolution/Bunny Girl Evolution/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 21 seconds of ABS	https://hardcover.app/books/bunny-girl-evolution-1/editions/32104254	1947381	32104254			66720	English	
Bunny Girl Evolution 2	Sir Bedivere the Mad		B0GSXD1GNC	54222ee1-ad28-4cd1-af3f-f36d252b6b20	2026-06-22	2026-06-23	A Monster Evolution LitRPG	Dorrie Sacks, Justin Thomas James, Ryan H. Reid, Jeff Hays, Jack Fields, Tess Irondale, Jessica Threet	Soundbooth Theater		2026	English	62889	Bunny Girl Evolution #2	/mnt/audiobooks/Sir Bedivere the Mad/Bunny Girl Evolution/Bunny Girl Evolution 2/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/bunny-girl-evolution-2/editions	2080830			True			
Magical Girl Mechanical Heart, Volume 2	Natalie Maher		B0H4HRT1CB	e588ec41-6229-4fcb-a551-24a2eb92ef1d	2026-06-23	2026-06-24		Marissa Parness	Royal Guard Publishing LLC		2026	English	77337	Magical Girl Mechanical Heart #2	/mnt/audiobooks/Natalie Maher/Magical Girl Mechanical Heart/Magical Girl Mechanical Heart, Volume 2/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/magical-girl-mechanical-heart-volume-2-volume-2/editions	2811672			True			
The Primal Hunter 14	Zogarth		B0H1NGTHHS	830cab79-875a-412d-9d02-9c92f7534566	2026-06-24	2026-06-25	A LitRPG Adventure	Travis Baldree	Aethon Audio		2026	English	67129	The Primal Hunter #14	/mnt/audiobooks/Zogarth/The Primal Hunter/The Primal Hunter 14/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 49 seconds of ABS	https://hardcover.app/books/the-primal-hunter-14/editions/33000889	1975380	33000889			67080	English	
Hench	Natalie Zina Walschots	9780062978608	0062978608	6bd09adb-3eb8-4d56-9e2e-be48614792de	2026-06-25	2026-06-26	A Novel	Alex McKenna	William Morrow		2020	English	51304	Hench Series #1	/mnt/audiobooks/Natalie Zina Walschots/Hench/cover.jpg	use_existing_audiobook	high	matched audiobook edition by ABS ISBN/ASIN	https://hardcover.app/books/hench/editions/31969631	433504	31969631			51240	English	
Villain	Natalie Zina Walschots	9780063236967	B0CRS22TND	eaf8036c-8cc3-4aae-a1ea-d62eca3b64c5	2026-06-26	2026-06-27	A Novel	Alex McKenna	William Morrow		2026	English	67302	Hench Series #2	/mnt/audiobooks/Natalie Zina Walschots/Hench Series/Villain/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/villain-2026/editions	972070			True			
Vainglory 3	Plum Parrot		B0H3W2X65R	6b57f91d-2d2a-4754-8d82-4aba271d55e2	2026-06-27	2026-06-28	A LitRPG Adventure	Robb Moreira	Aethon Audio		2026	English	55595	Vainglory #3	/mnt/audiobooks/Plum Parrot/Vainglory/Vainglory 3/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/vainglory-3-a-litrpg-adventure/editions	2489777			True			
Darksight Dare	Lois McMaster Bujold	9798228994164	B0GZHYFMWL	3fa76639-b2c6-4e8a-8cb0-8df0e8ef13b6	2026-06-28	2026-06-28	A Penric & Desdemona Novella	Grover Gardner	Blackstone Publishing		2026	English	19445	The Penric & Desdemona Series #16	/mnt/audiobooks/Lois McMaster Bujold/The Penric & Desdemona Series/Darksight Dare/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/darksight-dare/editions	2525047			True			
Cinnamon Bun Volume 7: A Wholesome LitRPG	RavensDagger	9781039487239	B0FHL4HQBR	f6445964-bab6-40fe-aa10-1484b7b242c2	2026-06-28	2026-06-29	Cinnamon Bun, Book 7	Reba Buhr	Podium Audio		2026	English	43673	Cinnamon Bun #7	/mnt/audiobooks/RavensDagger/Cinnamon Bun/Cinnamon Bun Volume 7/cover.jpg	use_existing_audiobook	high	matched audiobook edition by ABS ISBN/ASIN	https://hardcover.app/books/cinnamon-bun-volume-7/editions/32251120	2065586	32251120			43620	English	
The Girl Who Bit Me	Valerie Hunter		B0H4HQT8RN	81f50651-e612-4362-9407-9a7dca86c13a	2026-06-29	2026-06-30	A Sapphic Vampire Romance	Erin Bateman	Royal Guard Publishing LLC		2026	English	49481	The Girl Who Bit Me #1	/mnt/audiobooks/Valerie Hunter/The Girl Who Bit Me/The Girl Who Bit Me/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/the-girl-who-bit-me/editions	2403126			True			
Goddess Alchemy	Rain Harlow		B0GD8VLV5P	6795df4c-63b2-43e4-9a42-782b8238ac58	2026-07-01	2026-07-03	The Mirror World Progression Saga, Book 6	Giancarlo Herrera, Hannah Schooner	Royal Guard Publishing LLC		2025	English	57876	Mirror World Progression Saga #6	/mnt/audiobooks/Rain Harlow/Mirror World Progression Saga/Goddess Alchemy/cover.jpg	create_book_and_audiobook_edition	high	no matching Hardcover book					True			
Andy in the Apocalypse	Plum Parrot		B0GLQTDFKK	3267aaef-8530-4a26-a90f-8c8b0339cd0d	2026-07-03	2026-07-04	A LitRPG Adventure	J.S. Arquin	Aethon Audio		2026	English	62839	Andy in the Apocalypse #1	/mnt/audiobooks/Plum Parrot/Andy in the Apocalypse/Andy in the Apocalypse/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 19 seconds of ABS	https://hardcover.app/books/andy-in-the-apocalypse/editions/32956134	2608504	32956134		True	62820		
Welcome to the Blast	Plum Parrot	9798347014200	B0G1D3NZLJ	7805c67a-5578-4000-a78a-878d54658094	2026-07-04	2026-07-05	Neon Dust, Book 1	Suzy Jackson, Robb Moreira	Podium Audio		2026	English	64023	Neon Dust #1	/mnt/audiobooks/Plum Parrot/Neon Dust/Welcome to the Blast/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/welcome-to-the-blast/editions	2811894			True			
Heroics 101: A Superhero Slice-of-Life LitRPG	Aest Belequa		B0D3264W7N	d6f29dde-20be-4d1e-8baa-dc6355c70131	2026-07-05	2026-07-07	Magical Girl Undergrad, Book 1	Hollie Jackson	Podium Audio		2024	English	72929	Magical Girl Undergrad #1	/mnt/audiobooks/Aest Belequa/Magical Girl Undergrad/Heroics 101 - A Superhero Slice-of-Life LitRPG/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/heroics-101-2024/editions	2383942			True			
Dressed to Kill: A Monster Seamstress LitRPG	Crown Fall	9781039437357	B0CR6NPFT2	cddc41f3-e458-4b04-934c-089bd1d8e0e4	2026-07-07	2026-07-08	Dressed to Kill, Book 1	Andrea Parsneau	Podium Audio		2024	English	36699	Dressed to Kill #1	/mnt/audiobooks/Crown Fall/Dressed to Kill/Dressed to Kill/cover.jpg	use_existing_audiobook	high	matched audiobook edition by ABS ISBN/ASIN	https://hardcover.app/books/dressed-to-kill-a-monster-seamstress-litrpg/editions/33202786	1459802	33202786			36660	English	
Andy in the Apocalypse 2	Plum Parrot		B0H5RH8CML	d4cfd15e-27ea-4247-95e6-96633c7d57c5	2026-07-08	2026-07-10	A LitRPG Adventure	J.S. Arquin	Aethon Audio		2026	English	66738	Andy in the Apocalypse #2	/metadata/items/d4cfd15e-27ea-4247-95e6-96633c7d57c5/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/andy-in-the-apocalypse-2/editions	2873940			True			
Lost Souls and a Demoness 2	N.C. Lux		B0G2T375WC	96b949bb-981b-4e1b-9ca8-dd547271e4b1	2026-07-11	2026-07-14	A LitRPG Adventure	Rebecca Woods, Daryl Mayfield	Royal Guard Publishing LLC		2025	English	72646	Lost Souls and a Demoness #2	/mnt/audiobooks/N.C. Lux/Lost Souls and a Demoness/Lost Souls and a Demoness 2/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 46 seconds of ABS	https://hardcover.app/books/lost-souls-and-a-demoness-2/editions/32762524	2065318	32762524			72600	English	
Lost Souls and a Demoness 1	N. C. Lux		B0F4Z71MY4	76b7bfed-4b78-4aae-a235-23458270f211	2026-07-10	2026-07-14	A LitRPG Adventure	Rebecca Woods, Daryl Mayfield	Royal Guard Publishing LLC		2025	English	56159	Lost Souls and a Demoness #1	/mnt/audiobooks/N. C. Lux/Lost Souls and a Demoness/Lost Souls and a Demoness/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 59 seconds of ABS	https://hardcover.app/books/lost-souls-and-a-demoness-1/editions/32250757	2059425	32250757			56100	English	
Love, Gods and Sinners	Camille Chong			63866b01-c314-4f30-b215-bb0a9584c25a	2026-07-14	2026-07-17							43683		/mnt/audiobooks/Camille Chong/Love, Gods and Sinners/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/love-gods-and-sinners/editions	1565644			True			
Dressed to Kill 2: A Monster Seamstress LitRPG	Crown Fall	9781039437364	B0FFD262Q3	9305dfe6-5390-4abf-89b3-700cd2df511f	2026-07-17	2026-07-18	Dressed to Kill, Book 2	Andrea Parsneau	Podium Audio		2025	English	32376	Dressed to Kill #2	/mnt/audiobooks/Crown Fall/Dressed to Kill/Dressed to Kill 2/cover.jpg	use_existing_audiobook	high	matched audiobook edition by ABS ISBN/ASIN	https://hardcover.app/books/dressed-to-kill-2/editions/33202787	2500934	33202787			32340	English	
The Mercy Makers	Tessa Gratton	9781668649916	B0DKGBNRKZ	6a30d7c7-9a1a-4608-8a93-11f2db56e137	2026-07-18	2026-07-20		Emily Lawrence	Orbit		2025	English	69375		/mnt/audiobooks/Tessa Gratton/The Mercy Makers/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/the-mercy-makers/editions	1644467			True			
