title	action	edit_url	edition_url	remaining	cover_file	start_date	finish_date	historical
The Silver Spike	existing audiobook	https://hardcover.app/editions/32358350/edit	https://hardcover.app/books/the-silver-spike-1989/editions/32358350	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/the-silver-spike-1a27e8f2.jpg			True
Perdido Street Station	existing audiobook	https://hardcover.app/editions/31689448/edit	https://hardcover.app/books/perdido-street-station/editions/31689448	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/perdido-street-station-06eee279.jpg			True
Dead Lies Dreaming	existing audiobook	https://hardcover.app/editions/31859927/edit	https://hardcover.app/books/dead-lies-dreaming/editions/31859927	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/dead-lies-dreaming-9a1c1e57.jpg			True
Quantum of Nightmares	existing audiobook	https://hardcover.app/editions/31859169/edit	https://hardcover.app/books/quantum-of-nightmares/editions/31859169	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/quantum-of-nightmares-e02dd9cd.jpg			True
Season of Skulls	created audiobook	https://hardcover.app/editions/33300416/edit	https://hardcover.app/books/season-of-skulls/editions/33300416	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/season-of-skulls-da1e8338.jpg			True
The Assassin's Blade	existing audiobook	https://hardcover.app/editions/32808674/edit	https://hardcover.app/books/the-assassins-blade/editions/32808674	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/the-assassin-s-blade-c94acf10.jpg	2025-07-21	2025-07-21	False
City of Lust	created audiobook	https://hardcover.app/editions/33300417/edit	https://hardcover.app/books/city-of-lust/editions/33300417	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/city-of-lust-ade2d8d5.jpg	2025-07-26	2025-07-26	False
The Taste of Women	existing audiobook	https://hardcover.app/editions/32270821/edit	https://hardcover.app/books/the-taste-of-women-2023/editions/32270821	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/the-taste-of-women-59c7eb0e.jpg	2025-09-13	2025-09-14	False
Bioshifter: Volume 3	existing audiobook	https://hardcover.app/editions/32270834/edit	https://hardcover.app/books/bioshifter-volume-3/editions/32270834	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/bioshifter-volume-3-d606270f.jpg	2025-09-20	2025-09-20	False
PERfunctory afFECTION	corrected/reused identifier-matched edition	https://hardcover.app/editions/30385214/edit	https://hardcover.app/books/perfunctory-affection/editions/30385214	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/perfunctory-affection-9a25f8ca.jpg	2025-10-18	2025-10-18	False
Reclamation	created audiobook	https://hardcover.app/editions/33300418/edit	https://hardcover.app/books/reclamation-2025/editions/33300418	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/reclamation-b96dddc7.jpg	2026-01-23	2026-01-24	False
